,message_order,data,label
0,2,good morning,location
1,5,location,whoAreYou
2,5,hi,whoAreYou
3,4,hi,greeting
4,1,hello,greeting
5,3,sir,whoAreYou
6,2,k,whoAreYou
7,2,thanks,dontMeetRequirements
8,3,hii,dontMeetRequirements
9,2,sir dnt two wheeler,whoAreYou
10,1,hi,greeting
11,3,hlo,greeting
12,4,  good mrng,greeting
13,0,ok,greeting
14,3,gm,notInterested
15,5,yes bike sorry,notInterested
17,4,job placement company,greeting
19,5,hiii,dontMeetRequirements
21,0,hii,greeting
22,1,thank,dontMeetRequirements
23,1,location ,notInterested
24,3,nahi,greeting
25,3,marathi,whoAreYou
26,1,ok,whoAreYou
27,2,iska location kya hoga,location
28,1,poda    ,notInterested
29,2,ok,whoAreYou
30,2,ok,location
31,3,k,location
32,3,ldhu,greeting
33,2,hi,greeting
34,1,interested,greeting
35,4,r u,location
36,5,hi  ,whoAreYou
37,0,k,whoAreYou
38,0,hi,greeting
39,1,hiio,notInterested
40,4,hello,notInterested
41,2,ok thanks   ,whoAreYou
42,3,ok,whoAreYou
43,1,learning licence hai,notInterested
44,3,okkk,whoAreYou
45,1,bhaiii,greeting
46,4,ok,whoAreYou
47,3,hey,greeting
48,2,msg kyu karte hai,notInterested
49,2,hi sir,greeting
50,0,ok,whoAreYou
51,5,hi   ,whoAreYou
52,1,u,notInterested
53,5,hi sir,whoAreYou
54,5,learning licence,whoAreYou
55,4,hii,whoAreYou
56,4,hii,whoAreYou
57,1,hii,whoAreYou
58,3,  g  morning,location
59,4,okay,greeting
60,4,ok,notInterested
61,2,k,greeting
62,3,msg,whoAreYou
63,4,learning license,notInterested
64,3,lerner license,whoAreYou
65,2,ok,greeting
66,3,ok bye dear c good night,notInterested
67,2,thanks,notInterested
68,2,location,greeting
69,5,ohhhh sry,whoAreYou
70,0,ok,whoAreYou
71,3,kidar hai job,whoAreYou
72,4,hallo,whoAreYou
73,0,area,greeting
74,3,lr licence,dontMeetRequirements
75,4,hello sir   madam  sorry bike  ,notInterested
76,5,ok,location
78,3,one,dontMeetRequirements
79,1,good morning,greeting
80,3,hy,whoAreYou
81,0,hai good morning,greeting
82,4,ok,notInterested
83,0,hai kishor,whoAreYou
84,5,hi,location
85,3,applied,location
88,0,kkk,greeting
89,0,ok,notInterested
90,0,hi,whoAreYou
91,5,come,notInterested
92,3,ledu,greeting
93,2,interested job bike,whoAreYou
94,2,interested,notInterested
95,1,already given dis answer numberdays back,greeting
96,0,r u,greeting
97,5,hello,whoAreYou
98,2,hi,greeting
99,3,ok,greeting
100,1,hiii,whoAreYou
101,5,haa hai,notInterested
102,1,k,whoAreYou
103,3,inserted,dontMeetRequirements
104,0,helo,notInterested
105,2,hai,notInterested
106,2,two wheeler aahe,whoAreYou
107,2,hello,whoAreYou
108,3,hi,location
109,5,hi,greeting
110,3,ok,whoAreYou
111,2,hi,greeting
112,4,hi,whoAreYou
113,2,ok,dontMeetRequirements
114,2,hiii,greeting
115,2,hii,dontMeetRequirements
116,2,hi,greeting
117,0,kkkkk,whoAreYou
118,2,hii,notInterested
119,3,location,dontMeetRequirements
120,4,k,notInterested
121,4,good morning,greeting
122,2,driving licence process,whoAreYou
123,0,hii,whoAreYou
124,0,location kya hai sir,whoAreYou
125,0,haii,whoAreYou
126,1,hii,whoAreYou
127,0,ok,dontMeetRequirements
128,5,ok,greeting
131,5,sorry,whoAreYou
132,2,swiggy nai karna merko,notInterested
133,1,hii,location
134,1,ok,greeting
135,5,g sir,greeting
136,3,kuthe aahe vacancey,greeting
137,2,sry sir interested job,notInterested
139,3,ok,whoAreYou
140,5,okok,whoAreYou
142,0,hi,notInterested
143,3,llr,notInterested
144,0,area,dontMeetRequirements
145,3,location kon si rhe gi sir g,notInterested
147,1,office,whoAreYou
148,3,helo,whoAreYou
149,1,good morning,whoAreYou
150,5,hi sir,whoAreYou
151,5,ok,greeting
152,2,ok,whoAreYou
153,3,ok,greeting
154,0,ok,notInterested
155,3,hiiii,whoAreYou
156,5,hi,dontMeetRequirements
157,0,hi,greeting
158,5,hi,whoAreYou
159,5,hii,dontMeetRequirements
160,4,learning license    ok job,greeting
161,1,bt bike nhi aata,whoAreYou
