,message_order,data,label
0,5,location,whoAreYou
1,5,hi,whoAreYou
2,4,hi,greeting
3,1,hello,greeting
4,3,sir,whoAreYou
5,1,hi,greeting
6,3,hlo,greeting
7,4,good mrng,greeting
8,0,ok,greeting
9,3,gm,notInterested
10,0,hii,greeting
11,1,location,notInterested
12,3,nahi,greeting
13,3,marathi,whoAreYou
14,1,ok,whoAreYou
15,1,poda,notInterested
16,2,ok,whoAreYou
17,3,ldhu,greeting
18,2,hi,greeting
19,1,interested,greeting
20,5,hi,whoAreYou
21,0,hi,greeting
22,1,hii,notInterested
23,4,hello,notInterested
24,2,ok thanks,whoAreYou
25,3,ok,whoAreYou
26,3,okkk,whoAreYou
27,1,bhaiii,greeting
28,4,ok,whoAreYou
29,3,hey,greeting
30,2,hi sir,greeting
31,0,ok,whoAreYou
32,5,hi,whoAreYou
33,5,hi sir,whoAreYou
34,5,learning licence,whoAreYou
35,4,hii,whoAreYou
36,4,hii,whoAreYou
37,1,hii,whoAreYou
38,4,okay,greeting
39,4,ok,notInterested
40,3,msg,whoAreYou
41,4,learning licence,notInterested
42,2,ok,greeting
43,2,thanks,notInterested
44,2,location,greeting
45,5,ohhhh sry,whoAreYou
46,0,ok,whoAreYou
47,4,hello,whoAreYou
48,0,area,greeting
49,1,good morning,greeting
50,3,hy,whoAreYou
51,4,ok,notInterested
52,0,hai kishor,whoAreYou
53,0,okkk,greeting
54,0,ok,notInterested
55,0,hi,whoAreYou
56,5,come,notInterested
57,3,ledu,greeting
58,2,interested,notInterested
59,5,hello,whoAreYou
60,2,hi,greeting
61,3,ok,greeting
62,1,hii,whoAreYou
63,5,haa hai,notInterested
64,0,hello,notInterested
65,2,hai,notInterested
66,2,hello,whoAreYou
67,5,hi,greeting
68,3,ok,whoAreYou
69,2,hi,greeting
70,4,hi,whoAreYou
71,2,hii,greeting
72,2,hi,greeting
73,0,kkkkk,whoAreYou
74,2,hii,notInterested
75,4,good morning,greeting
76,0,hii,whoAreYou
77,0,hii,whoAreYou
78,1,hii,whoAreYou
79,5,ok,greeting
80,5,sorry,whoAreYou
81,1,ok,greeting
82,5,sir,greeting
83,3,ok,whoAreYou
84,5,okkk,whoAreYou
85,0,hi,notInterested
86,3,llr,notInterested
87,1,office,whoAreYou
88,3,hello,whoAreYou
89,1,good morning,whoAreYou
90,5,hi sir,whoAreYou
91,5,ok,greeting
92,2,ok,whoAreYou
93,3,ok,greeting
94,0,ok,notInterested
95,3,hiiii,whoAreYou
96,0,hi,greeting
97,5,hi,whoAreYou
98,1,two wheeler,greeting
99,3,gm,notInterested
100,0,hai,whoAreYou
101,4,hi,whoAreYou
102,0,ok,greeting
103,2,hii,notInterested
104,3,okay,greeting
105,3,get lost,notInterested
106,2,hi,greeting
107,3,hi,notInterested
108,4,hi,notInterested
109,5,hi sir,whoAreYou
110,0,tq,whoAreYou
111,1,ohhhh,notInterested
112,1,ok,whoAreYou
113,5,hello,greeting
114,0,job location,whoAreYou
115,5,hello,notInterested
116,2,hi,greeting
117,1,good morning,notInterested
118,1,ok,greeting
119,1,hlw,notInterested
120,5,hi,greeting
121,0,hai,whoAreYou
122,5,ekada job,whoAreYou
123,2,okkk,whoAreYou
124,5,thanks,greeting
125,3,location,notInterested
126,5,learning licence,whoAreYou
127,1,ok,greeting
128,4,ok,greeting
129,3,hai,whoAreYou
130,5,okay,greeting
131,3,ok,greeting
132,3,helloooo,whoAreYou
133,0,good night,notInterested
134,3,good night,notInterested
135,4,ok,greeting
136,3,ok ok,greeting
137,0,ok,greeting
138,0,इक नह,notInterested
139,4,ok,notInterested
140,0,ok,whoAreYou
141,2,kahase vai,greeting
142,4,come interview,notInterested
143,3,hii,whoAreYou
144,3,hlo vahna,notInterested
145,5,location,notInterested
146,1,licence,notInterested
147,2,interested,whoAreYou
148,4,sir area,notInterested
149,2,bike,greeting
150,4,ok,greeting
151,2,hii,whoAreYou
152,0,ok,whoAreYou
153,5,driving licence,greeting
154,1,hii,whoAreYou
